arch,cpu,mem,localdisk,gpumem
arm64,1.0,8,-,-
arm64,1.0,8,59,-
arm64,1.0,16,-,-
arm64,1.0,16,59,-
arm64,2.0,8,-,-
arm64,2.0,8,118,-
arm64,2.0,16,-,-
arm64,2.0,16,118,-
arm64,2.0,16,468,-
arm64,2.0,32,-,-
arm64,2.0,32,118,-
arm64,4.0,8,-,-
arm64,4.0,8,237,-
arm64,4.0,16,-,-
arm64,4.0,16,237,-
arm64,4.0,32,-,-
arm64,4.0,32,237,-
arm64,4.0,32,937,-
arm64,4.0,64,-,-
arm64,4.0,64,237,-
arm64,8.0,16,-,-
arm64,8.0,16,474,-
arm64,8.0,32,-,-
arm64,8.0,32,474,-
arm64,8.0,64,-,-
arm64,8.0,64,474,-
arm64,8.0,64,1875,-
arm64,8.0,128,-,-
arm64,8.0,128,475,-
arm64,16.0,32,-,-
arm64,16.0,32,950,-
arm64,16.0,64,-,-
arm64,16.0,64,950,-
arm64,16.0,128,-,-
arm64,16.0,128,950,-
arm64,16.0,128,3750,-
arm64,16.0,256,-,-
arm64,16.0,256,950,-
arm64,32.0,64,-,-
arm64,32.0,64,1900,-
arm64,32.0,128,-,-
arm64,32.0,128,1900,-
arm64,32.0,256,-,-
arm64,32.0,256,1900,-
arm64,32.0,256,7500,-
arm64,32.0,512,-,-
arm64,32.0,512,1900,-
arm64,48.0,96,-,-
arm64,48.0,96,2850,-
arm64,48.0,192,-,-
arm64,48.0,192,2850,-
arm64,48.0,384,-,-
arm64,48.0,384,2850,-
arm64,48.0,384,11250,-
arm64,48.0,768,-,-
arm64,48.0,768,2850,-
arm64,64.0,128,-,-
arm64,64.0,128,3800,-
arm64,64.0,256,-,-
arm64,64.0,256,3800,-
arm64,64.0,512,-,-
arm64,64.0,512,3800,-
arm64,64.0,512,15000,-
arm64,64.0,1024,-,-
arm64,64.0,1024,3800,-
arm64,96.0,192,-,-
arm64,96.0,192,5700,-
arm64,96.0,384,-,-
arm64,96.0,384,5700,-
arm64,96.0,768,-,-
arm64,96.0,768,5700,-
arm64,96.0,768,22500,-
arm64,96.0,1536,-,-
arm64,192.0,384,-,-
arm64,192.0,384,11400,-
arm64,192.0,768,-,-
arm64,192.0,768,11400,-
arm64,192.0,1536,-,-
arm64,192.0,1536,11400,-
arm64,192.0,1536,45000,-
arm64,192.0,3072,-,-
x86_64,2.0,8,-,-
x86_64,2.0,8,75,-
x86_64,2.0,8,118,-
x86_64,2.0,16,-,-
x86_64,2.0,16,75,-
x86_64,2.0,16,468,-
x86_64,2.0,16,1250,-
x86_64,4.0,8,-,-
x86_64,4.0,8,100,-
x86_64,4.0,8,237,-
x86_64,4.0,16,-,-
x86_64,4.0,16,125,16.0
x86_64,4.0,16,150,-
x86_64,4.0,16,237,-
x86_64,4.0,32,-,-
x86_64,4.0,32,150,-
x86_64,4.0,32,237,-
x86_64,4.0,32,937,-
x86_64,4.0,32,2500,-
x86_64,8.0,16,-,-
x86_64,8.0,16,200,-
x86_64,8.0,16,474,-
x86_64,8.0,32,-,-
x86_64,8.0,32,225,16.0
x86_64,8.0,32,300,-
x86_64,8.0,32,474,-
x86_64,8.0,64,-,-
x86_64,8.0,64,300,-
x86_64,8.0,64,1875,-
x86_64,8.0,64,5000,-
x86_64,12.0,96,7500,-
x86_64,16.0,32,-,-
x86_64,16.0,32,400,-
x86_64,16.0,32,950,-
x86_64,16.0,64,-,-
x86_64,16.0,64,600,-
x86_64,16.0,64,950,-
x86_64,16.0,128,-,-
x86_64,16.0,128,600,-
x86_64,16.0,128,3750,-
x86_64,24.0,192,900,-
x86_64,24.0,192,15000,-
x86_64,32.0,64,-,-
x86_64,32.0,64,1200,-
x86_64,32.0,64,1900,-
x86_64,32.0,128,-,-
x86_64,32.0,128,1200,-
x86_64,32.0,128,1900,-
x86_64,32.0,256,-,-
x86_64,32.0,256,1200,-
x86_64,32.0,256,7500,-
x86_64,36.0,72,-,-
x86_64,36.0,72,900,-
x86_64,48.0,96,-,-
x86_64,48.0,96,1800,-
x86_64,48.0,96,2850,-
x86_64,48.0,192,-,-
x86_64,48.0,192,1800,-
x86_64,48.0,192,2850,-
x86_64,48.0,384,-,-
x86_64,48.0,384,1800,-
x86_64,48.0,384,30000,-
x86_64,64.0,128,-,-
x86_64,64.0,128,3800,-
x86_64,64.0,256,-,-
x86_64,64.0,256,2400,-
x86_64,64.0,256,3800,-
x86_64,64.0,512,-,-
x86_64,64.0,512,2400,-
x86_64,64.0,512,15000,-
x86_64,72.0,144,-,-
x86_64,72.0,144,1800,-
x86_64,72.0,576,45000,-
x86_64,96.0,192,-,-
x86_64,96.0,192,3600,-
x86_64,96.0,192,5700,-
x86_64,96.0,384,-,-
x86_64,96.0,384,3600,-
x86_64,96.0,768,-,-
x86_64,96.0,768,3600,-
x86_64,96.0,768,60000,-
x86_64,128.0,1024,30000,-
x86_64,192.0,1536,120000,-
