arch,cpu,mem,localdisk,gpumem
x86_64,2.0,8,-,-
x86_64,2.0,8,75,-
x86_64,2.0,8,118,-
x86_64,2.0,16,-,-
x86_64,2.0,16,75,-
x86_64,2.0,16,118,-
x86_64,4.0,8,-,-
x86_64,4.0,8,150,-
x86_64,4.0,16,-,-
x86_64,4.0,16,150,-
x86_64,4.0,16,236,-
x86_64,4.0,32,-,-
x86_64,4.0,32,150,-
x86_64,4.0,32,236,-
x86_64,8.0,16,-,-
x86_64,8.0,16,300,-
x86_64,8.0,32,-,-
x86_64,8.0,32,300,-
x86_64,8.0,32,472,-
x86_64,8.0,64,-,-
x86_64,8.0,64,300,-
x86_64,8.0,64,472,-
x86_64,16.0,32,-,-
x86_64,16.0,32,600,-
x86_64,16.0,64,-,-
x86_64,16.0,64,600,-
x86_64,16.0,64,944,-
x86_64,16.0,128,-,-
x86_64,16.0,128,600,-
x86_64,16.0,128,944,-
x86_64,20.0,160,-,-
x86_64,20.0,160,750,-
x86_64,20.0,160,1181,-
x86_64,32.0,64,-,-
x86_64,32.0,64,1200,-
x86_64,32.0,128,-,-
x86_64,32.0,128,1200,-
x86_64,32.0,128,1889,-
x86_64,32.0,256,-,-
x86_64,32.0,256,1200,-
x86_64,32.0,256,1889,-
x86_64,48.0,96,-,-
x86_64,48.0,96,1800,-
x86_64,48.0,192,-,-
x86_64,48.0,192,1800,-
x86_64,48.0,192,2834,-
x86_64,48.0,384,-,-
x86_64,48.0,384,1800,-
x86_64,48.0,384,2834,-
x86_64,64.0,128,-,-
x86_64,64.0,128,2400,-
x86_64,64.0,256,-,-
x86_64,64.0,256,2400,-
x86_64,64.0,256,3779,-
x86_64,64.0,512,-,-
x86_64,64.0,512,2400,-
x86_64,64.0,512,3779,-
x86_64,96.0,192,-,-
x86_64,96.0,192,3600,-
x86_64,96.0,384,-,-
x86_64,96.0,384,3600,-
x86_64,96.0,384,5669,-
x86_64,96.0,672,-,-
x86_64,96.0,672,3600,-
x86_64,96.0,672,5669,-
